CompanyId,ShareClassId,Symbol,ExchangeId,CurrencyId,Valoren,CUSIP,ISIN,IPODate,IsDepositaryReceipt,DepositaryReceiptRatio,SecurityType,ShareClassDescription,ShareClassStatus,IsPrimaryShare,IsDividendReinvest,IsDirectInvest,InvestmentId,IPOOfferPrice,DelistingDate,DelistingReason,MIC,CommonShareSubType,IPOOfferPriceRange,ExchangeSubMarketGlobalId,ConversionRatio,ActiveOrDelisted
0C00000LXK,0P00006WP5,MRM,ASX,AUD,,,AU000000MRM7,1999-06-21,0,,ST00000001,,D,0,1,,E0AUS01KIA,,2024-07-26,Other events,XASX,,,,1.000000000,Delisted
0C00000LXO,0P00006Y2W,MLM,ASX,AUD,,,AU000000MLM0,2004-11-23,0,,ST00000001,,D,1,0,,F0000001AN,,2024-08-19,Other events,XASX,,,,1.000000000,Delisted
0C00000LXO,0P0001MFAW,MLMOB,ASX,AUD,,,AU0000141939,2021-04-14,0,,ST00000008,Warrants (25/03/2024),D,0,,,F0000170RA,,2024-03-19,Other events,XASX,,,,,Delisted
0C00000LXP,0P0001MFV9,MLSOB,ASX,AUD,,,AU0000113581,2020-11-02,0,,ST00000008,Warrants (01/06/2022),D,0,,,F00001710L,,2022-05-27,Other events,XASX,,,,,Delisted
0C00000LXP,0P0001OQKL,MLSOD,ASX,AUD,,,AU0000214272,2022-03-24,0,,ST00000008,Warrants (10/02/2024),D,0,,,F00001DNWG,,2024-02-06,Other events,XASX,,,,,Delisted
0C00000LXP,0P0001OQKM,MLSOC,ASX,AUD,,,AU0000214264,2022-03-24,0,,ST00000008,Warrants (31/12/2023),D,0,,,F00001DNWH,,2023-12-21,Other events,XASX,,,,,Delisted
0C00000LXR,0P0000BDIP,MEICA,ASX,AUD,,,AU0000MEICA7,,0,,ST00000001,Shs Partly paid,D,0,,,F000000WSU,,2015-10-27,Assimilation,XASX,,,,1.000000000,Delisted
0C00000LXR,0P0001NUQU,MEIO,ASX,AUD,,,AU0000189797,2021-11-22,0,,ST00000008,Warrants (28/05/2023),D,0,,,F00001D254,,2023-05-22,Other events,XASX,,,,,Delisted
0C00000LXS,0P00006WPA,CNX,ASX,AUD,,,AU000000CNX4,1993-12-21,0,,ST00000001,,D,0,0,,E0AUS00UJD,,2019-12-04,Other events,XASX,,,,1.000000000,Delisted
0C00000LXT,0P0001N9CW,MAYO,ASX,AUD,,,AU0000167488,2021-09-06,0,,ST00000008,Warrants (10/09/2022),D,0,,,F00001CM4M,,2022-09-07,Other events,XASX,,,,,Delisted
0C00000LXU,0P00006WPC,MIC,ASX,AUD,,,AU000000MIC7,1996-06-20,0,,ST00000001,,D,1,,,E0AUS04ARY,,2010-04-29,Other events,XASX,,,,1.000000000,Delisted
0C00000LXV,0P00006WPB,MTD,ASX,AUD,,,AU000000MTD2,1985-12-05,0,,ST00000001,,D,1,1,,E0AUS01Q9A,,2016-01-04,Other events,XASX,,,,1.000000000,Delisted
0C00000LXZ,0P00006WPE,PDF,ASX,AUD,,,AU000000PDF4,2001-08-28,0,,ST00000001,,D,1,0,,E0AUS04CM8,,2019-05-20,Other events,XASX,,,,1.000000000,Delisted
