Gcode,CompanyTicker,SecurityTicker,SeniorSecurity,SecurityType,AbreviatedSecurityDescription,ListDate_YMD,DelistDate_YMD,ListDate_DaysSince,DelistDate_DaysSince,ListDate,DelistDate,RecordCount,FullCompanyName,AbbrevCompanyName,EarliestListDate,LatestDelistDate,GICSIndustry,SIRCAIndustryClassCode,SIRCASectorCode,CompanyDelistReasonCode,CompanyRelatedGCode,CompanyDelistReasonComment,AlteredLink,MS_CompanyID,MS_SecurityID,MS_CompanyID2,MS_SecurityID2,MA_Identifier
cea1,OGY,OGY,1,01,ordinary,20180427,20180430,43217,43220,27/04/2018,30/04/2018,0,ORCA ENERGY LIMITED,ORCA ENERGY LIMITED,23/07/1987,,10100000,1,10,N,,,,0C00000LYV,0P00006Y3I,,,FIN
cea1,FIN,FIN,1,01,ordinary,20180501,,43221,,01/05/2018,,1125,FIN RESOURCES LIMITED,FIN RESOURCES LTD,23/07/1987,,15104000,3,15,,,,,0C00000LYV,0P00006Y3I,,,FIN
ceg1,CEG,CEG,1,01,ordinary,20040607,20110830,38145,40785,07/06/2004,30/08/2011,1486,CEC GROUP LIMITED,CEC GROUP LIMITED,07/06/2004,30/08/2011,20100000,4,20,F,,,,0C00000LE0,0P00006XW0,,,CEG
cei1,CEI,CEI,1,01,nsx - ordinary,20140819,20150915,41870,42262,19/08/2014,15/09/2015,0,COMMUNITY MERCHANT SOLUTIONS LTD,COMM MERCHANT SOL,19/08/2014,15/09/2015,0,26,70,F,,,,,,,,
cel2,CEL,CEL,1,01,ordinary,19991013,20001110,36446,36840,13/10/1999,10/11/2000,188,CHANNEL E LIMITED,CHANNEL E LIMITED,13/10/1999,10/11/2000,,10,25,A,,my money limited,,0C00008X4Y,0P0001D0HC,,,CEL1
cen2,CEN,CEN,1,01,ordinary,19990511,20020701,36291,37438,11/05/1999,01/07/2002,191,CONTACT ENERGY LIMITED,CONTACT ENERGY,11/05/1999,01/07/2002,55101010,25,55,18.9.2,,,,0C00000O72,0P00007XW0,,,CEN1
cen3,CEN,CEN,1,01,ord for. exempt nzx,20150924,,42271,,24/09/2015,,1926,CONTACT ENERGY LIMITED,CONTACT ENERGY LTD,24/09/2015,,55100000,25,55,,,,,0C00000O72,0P0000F16L,,,CEN
ceo1,CEO,CEO,1,01,ordinary,20051220,20111201,38706,40878,20/12/2005,01/12/2011,800,C @ LIMITED,C @ LIMITED,20/12/2005,,35100000,14,35,N;C,,,,0C00000LDU,0P00006XVZ,,,BGL
ceo1,CEO,CEODA,1,01,deferred settlement,20111202,20111209,40879,40886,02/12/2011,09/12/2011,1,C @ LIMITED,C @ LIMITED,20/12/2005,,35100000,14,35,C,,,,0C00000LDU,0P00006XVZ,,,BGL
ceo1,CEO,CEO,1,01,ordinary,20111210,20111213,40887,40890,10/12/2011,13/12/2011,0,C @ LIMITED,C @ LIMITED,20/12/2005,,35100000,14,35,N;C,,,,0C00000LDU,0P00006XVZ,,,BGL
ceo1,DRG,DRG,1,01,ordinary,20111214,20180724,40891,43305,14/12/2011,24/07/2018,1070,DRAIG RESOURCES LIMITED,DRAIG RESOURCES LTD,20/12/2005,,15104000,3,15,N,,,,0C00000LDU,0P00006XVZ,,,BGL
ceo1,BGL,BGL,1,01,ordinary,20180725,,43306,,25/07/2018,,1615,BELLEVUE GOLD LIMITED,BELLEVUE GOLD LTD,20/12/2005,,15104000,3,15,,,,,0C00000LDU,0P00006XVZ,,,BGL
cep1,CEP,CEP,1,06,ord/units stapled,19971023,20050318,35726,38429,23/10/1997,18/03/2005,1198,CENTRO PROPERTIES GROUP,CENTRO PROPERTIES,31/10/1985,18/03/2005,40401010,20,40,M;S,prx1,prime retail group,,,,,,CEP
